Crop,State,2019-20,2020-21,2021-22,2022-23
Paddy,Andhra Pradesh,1732,1765,1815,1997.0
Paddy,Assam,1253,1310,1345,1372.0
Paddy,Bihar,1303,1386,1425,1571.0
Paddy,Chhattisgarh,1908,2018,1973,2099.0
Paddy,Gujarat,1523,1562,1681,1740.0
Paddy,Jharkhand,1487,1485,1480,1635.0
Paddy,Karnataka,1710,1805,1855,2091.0
Paddy,Madhya Pradesh,1837,2037,1868,2166.0
Paddy,Maharashtra,1932,2098,2133,2250.0
Paddy,Odisha,1658,1605,1544,1554.0
Paddy,Tamil Nadu,1700,1615,1870,1995.0
Paddy,Telangana,1804,1833,1916,1958.0
Paddy,Uttar Pradesh,1569,1609,1796,1919.0
Wheat,Bihar,1474,1712,1830,2086.0
Wheat,Gujarat,1868,1775,1994,2378.0
Wheat,Haryana,1975,1840,2015,2173.0
Wheat,Madhya Pradesh,1901,1889,2147,2207.0
Wheat,Maharashtra,1996,1781,2134,
Wheat,Punjab,1851,1921,1791,2025.0
Wheat,Rajasthan,1886,1852,2145,2262.0
Wheat,Uttar Pradesh,1815,1774,1952,2044.0
Maize,Andhra Pradesh,1721,1636,1908,1957.0
Maize,Bihar,1274,1356,1431,1668.0
Maize,Chhattisgarh,1896,1962,1884,2121.0
Maize,Gujarat,1680,1576,1701,2056.0
Maize,Himachal Pradesh,2038,2106,2247,2211.0
Maize,Jammu & Kashmir,1447,1958,1922,2065.0
Maize,Jharkhand,1506,1813,1717,1825.0
Maize,Karnataka,1659,1674,1897,1979.0
Maize,Madhya Pradesh,1862,1648,1630,1938.0
Maize,Maharashtra,1494,1425,1907,2032.0
Maize,Rajasthan,1828,1437,1736,2082.0
Maize,Tamil Nadu,2302,2213,2076,2726.0
Maize,Telangana,1733,1549,1764,1815.0
Bajra,Andhra Pradesh,1890,1687,1694,2030.0
Bajra,Gujarat,1726,1540,1718,2090.0
Bajra,Haryana,1937,1905,2100,2100.0
Bajra,Karnataka,1725,1510,1588,1889.0
Bajra,Madhya Pradesh,1917,1717,1813,1997.0
Bajra,Maharashtra,1664,1429,2066,2383.0
Bajra,Rajasthan,1828,1467,1682,1994.0
Bajra,Uttar Pradesh,1630,1367,1689,1926.0
